volunteer_id,college,major,major_group,rank,alignment_score,province,rationale,final_reason,strength_evidence_summary,score_total,tier,tag_labels
4602-037,海南大学(“双一流”建设高校),计算机科学与技术,cs,29025,84,海南,"Full CS plan has calculus/linear algebra/probability/discrete math plus networks, organization, OS, architecture, databases, compiler and algorithms; software/practice load exists but foundations are strong.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,"Official plan has full CS core including discrete math, data structures, databases, networks, organization, architecture, OS, algorithms and compiler. College page confirms national first-class CS major, CS/software master platforms and ESI/soft-ranking signals; doctoral evidence is professional-degree enrollment, not a CS academic doctoral point.",,,Hainan_double_first_class_regional_flagship;electronic_information_professional_doctoral_training;engineering_accreditation_style_training;innovation_practice_and_course_designs;master_degree_platform;professional_doctoral_enrollment_in_cs_college;soft_science_world_discipline_listed;CS 系统/理论路径;OS/体系结构/算法;需自学 AI;211工程;ESI 计科前1%;博士点/博士平台;双一流;国家一流专业;计科硕士平台;软件工程硕士平台;软件就业训练负担
5032-004,重庆邮电大学,计算机类(智能技术类),cs,29529,72,重庆,"The computer-and-intelligent-science category plausibly contains CS/intelligent-science foundations, but large-category split and engineering/application burden require review.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,"Official PDF confirms the computer-and-intelligent-science category and CS/intelligent-science training plans, while CDGDC confirms CS B+ in the fourth-round discipline evaluation. Doctoral/platform details are supported by a UCAS Chongqing joint-class news item and a credible招生 summary, so keep as medium rather than fully official.",,,Chongqing_information_industry_strong_school;UCAS_Chongqing_joint_elite_class_signal;computer_science_degree_platform;computer_science_doctoral_authorization_reported;cs_intelligent_science_category;doctoral_and_master_training_platform;industry_joint_labs_reported;industry_recognized_computing_school;national_or_ministry_platforms_reported;some_platform_evidence_not_from_primary_school_page;AI 理论路径;CS 系统/理论路径;ML/DL 基础;OS/体系结构/算法;学科评估 B+;大类/方向风险;应用/就业导向重
3125-021,上海海事大学,计算机科学与技术,cs,29610,80,上海,"The official plan shows a solid CS foundation in data structures, networks, databases, digital logic, OS, architecture and algorithms, with AI/ML electives and only moderate software-practice load.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,"Official pages confirm Shanghai municipal first-class CS major, engineering education accreditation, CS first-level master point and ESI top 1% signal. Local plan shows digital logic, OS, architecture, networks, databases, algorithms and AI/ML electives.",,,Shanghai_maritime_transport_information_niche;computer_science_first_level_master;course_design_training;engineering_education_accreditation;enterprise_practice_courses;industry_application_orientation;maritime_information_application_niche;municipal_first_class_major;CS 系统/理论路径;ML/DL 基础;OS/体系结构/算法;低偏离负担;ESI 计科前1%;计科硕士平台;软件工程硕士平台;软件就业训练负担
5103-014,成都理工大学(“双一流”建设高校),计算机科学与技术,cs,29925,79,四川,官方2025方案列出离散数学、数据结构算法、组成结构、OS、网络、数据库、数值计算和大模型实践，CS主干扎实但应用型培养明显。,Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,"Official 2025 plan and招生 page confirm a CS first-level master point, provincial first-class CS major and strong CS core: discrete math, data structures/algorithms, OS, networks, databases, system structure, numerical methods and large-model practice. No CS doctoral point found.",,,Sichuan_double_first_class_university_with_IT_feature;complete_undergraduate_to_master_training_platform;computer_science_first_level_master;double_first_class_strength_is_school_level_not_cs;electronic_information_professional_master;engineering_practice_training;large_model_practice;school_double_first_class_geology_not_cs;CS 系统/理论路径;ML/DL 基础;OS/体系结构/算法;升学信号;双一流;省一流专业;应用/就业导向重;软件就业训练负担
5314-028,云南大学(“双一流”建设高校),统计学,math_stat_info,30047,88,云南,"Official statistics plan has a clean math/statistics core, strong probability-statistics platform, and little forced off-scope load.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,"Official plan confirms complete statistics bachelor-master-doctor-postdoc pipeline and clean probability/statistics curriculum; department page confirms national first-class statistics major, double-first-class key construction discipline and strong faculty/platforms.",,,Yunnan_statistics_flagship_platform;double_first_class_key_construction_discipline;double_first_class_relevant_discipline;full_bachelor_master_doctor_postdoc_statistics_pipeline;provincial_first_class_discipline;provincial_key_labs_and_innovation_team;statistics_first_level_doctoral;statistics_postdoctoral_station;strong_statistics_core;低偏离负担;数学主线干净;数学核心强;需自学 CS;需自学系统;211工程;升学信号;博士点/博士平台;双一流;国家一流专业;科研训练
2127-007,辽宁大学(“双一流”建设高校),数学与应用数学,math_stat_info,30546,70,辽宁,官方介绍称数学、计算机与经济结合并面向经济分析/决策，数学基础可用但经济管理应用负载风险明显且证据较弱。,Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,"Official pages show the major relies on math, statistics and computing, with a math first-level master point and nearby statistics doctoral/postdoc platform. Evidence for a clean math-first undergraduate route is weaker because the intro emphasizes economic analysis, economic decision-making and data/economic applications.",,,Liaoning_double_first_class_school_level_signal;data_analysis_economic_application_orientation;limited_official_undergraduate_intro_only;math_first_level_master;math_master_platform;math_primary_path;no_math_doctoral_platform_found;statistics_doctoral_platform_nearby;statistics_doctoral_platform_not_math;statistics_provincial_key_discipline_not_direct_math;仅专业简介;数学主线干净;需自学 AI;需自学系统;211工程;双一流;金融/商业负担
0003-032,浙江工业大学(入选“2011计划”高校)(省重点建设高校),数学类,math_stat_info,30608,90,浙江,"Official math-college plan text shows a strong math core plus Python, numerical analysis, optimization, machine learning and data-structure/database electives, making the math category a strong keep despite split risk.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,"Official 2024 math-college plan has strong math core plus Python, numerical analysis, optimization, machine learning and data-structure/database electives. College pages show active graduate/doctoral enrollment listings, strong modeling/research outcomes and high progression; exact math doctoral authorization wording should be retained as platform signal rather than overclaimed.",,,Hangzhou_industrial_applied_math_context;Zhejiang_provincial_key_university;data_science_institute_context;doctoral_enrollment_listings;graduate_progression_signal;math_college_master_doctor_students;math_modeling_research_training;math_related_doctoral_enrollment_signal;regional_priority_university;student_research_and_modeling_awards_signal;ML/DL 基础;低偏离负担;数值计算/科学计算;数学+计算;数学核心强;省重点/省部共建;大类/方向风险
4602-020,海南大学(“双一流”建设高校),数学与应用数学,math_stat_info,30962,91,海南,"Full math training plan shows a clean math path augmented by stochastic process, data analysis, statistical learning and algorithm analysis/design, with little off-scope compulsory load.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,"Official plan shows a clean math path with data analysis, statistical learning and algorithm analysis/design. College and招生 pages confirm national first-class math major, math first-level master and 2024 math first-level doctoral point, forming a complete pipeline.",,,Hainan_math_and_statistics_flagship_platform;basic_discipline_math_top_talent_base;full_bachelor_master_doctor_training_pipeline;mathematics_first_level_doctoral;mathematics_first_level_master;ML/DL 基础;低偏离负担;数值计算/科学计算;数学+计算;数学核心强;需自学系统;211工程;双一流;国家一流专业;国家一流本科专业;科研训练
3145-022,上海师范大学,数学与应用数学,math_stat_info,31234,84,上海,本地方案可见数学分析、高等代数、解析几何等核心数学训练，备注含数学金融AI实验班带来一定金融方向风险但主路径仍是数学。,Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,"Official college pages confirm mathematics first-level doctoral point, math postdoctoral station and national first-class mathematics/applied mathematics major. Local plan evidence is mostly math-category/common curriculum and needs manual check for the exact Zhejiang admission route and whether any finance/AI experimental-class branch affects the student path.",,,Shanghai_math_teacher_and_applied_math_platform;computation_data_science_adjacent_path;evidence_weak_for_exact_major_plan;math_doctoral_and_postdoc_platform;math_primary_path;mathematics_first_level_doctoral;mathematics_postdoctoral_station;possible_finance_business_or_experimental_class_path;research_training_available_at_college_level;证据弱;数学主线干净;数学核心强;需自学 AI;需自学 CS;国家一流专业;国家一流本科专业;金融/商业负担
0003-025,浙江工业大学(入选“2011计划”高校)(省重点建设高校),人工智能,ai_intelligent_science,31279.30769230769,78,浙江,"The local official CS-college plan text shows reusable CS foundations such as discrete math, data structures, OS, networks, databases and AI/ML-related coursework, though the extracted text is college-wide and direction details are imperfect.",Rank is inside 29k-50k after the alignment gate; the strict 50k+ safety audit does not apply.,官方培养方案页可核到计算机学院培养方案和离散数学、数据结构、操作系统、网络、数据库、人工智能导论等CS基础课程；学校层面有2011计划和省重点建设标签；但本次未核到人工智能专业独立的一流专业或学位平台硬标签,,,2011_plan_university;ai_related_coursework;cs_foundation_courses;cs_foundation_training_plan;exact_ai_major_strength_unclear;postgraduate_signal_scope_unclear;self_study_freedom_unclear;zhejiang_key_university;AI 理论路径;CS 系统/理论路径;ML/DL 基础;OS/体系结构/算法;升学信号;省重点/省部共建
